,,Input,category,Input,Category,,Output,Output
ID,timestamp,pressure (atm),pH,temperature (K),catalyst?,Experimenter,yield (g),purity (%)
1,26/06/2026,1.77,7,303,TRUE,Groucho,1.3,39%
2,27/06/2026,0.87,5,315,FALSE,Harpo,8.8,21%
3,28/06/2026,0.35,9,316,TRUE,Chico,12.6,
4,29/06/2026,0.91,7,305,FALSE,Groucho,14.3,59%
5,30/06/2026,1.49,5,329,TRUE,Harpo,2.6,4%
6,01/07/2026,0.84,9,336,FALSE,Chico,,72%
7,02/07/2026,1.23,7,305,TRUE,Groucho,4.0,70%
8,03/07/2026,1.80,5,337,TRUE,Harpo,8.1,94%
9,04/07/2026,0.61,7,298,FALSE,Chico,13.0,
10,05/07/2026,1.66,5,320,FALSE,Groucho,19.3,100%
11,06/07/2026,0.63,9,314,TRUE,Harpo,0.0,82%
